2026-02-19 08:00:00 PM ET,100000.00
2026-02-20 08:00:00 PM ET,99809.54
2026-02-23 05:05:07 PM ET,100176.35
2026-02-24 05:17:21 PM ET,100372.69
2026-02-25 05:00:49 PM ET,100612.41
2026-02-26 05:51:01 PM ET,100523.28
2026-02-27 05:00:48 PM ET,101666.50
2026-03-02 05:00:45 PM ET,101171.10
2026-03-03 05:00:54 PM ET,100600.35
2026-03-04 05:00:50 PM ET,100471.88
2026-03-05 05:00:48 PM ET,99863.51
2026-03-06 05:00:53 PM ET,99686.14
2026-03-09 05:00:49 PM ET,99645.87
2026-03-11 05:00:46 PM ET,98765.41
2026-03-12 05:00:46 PM ET,98756.74
2026-03-13 05:00:47 PM ET,98626.45
2026-03-16 05:00:49 PM ET,99402.84
2026-03-17 05:00:53 PM ET,99690.07
2026-03-18 05:00:48 PM ET,98381.64
2026-03-19 05:00:47 PM ET,98558.66
2026-03-20 05:00:57 PM ET,97626.06
2026-03-23 05:00:54 PM ET,98140.03
2026-03-24 05:00:50 PM ET,98240.11
2026-03-25 05:00:50 PM ET,98318.89
2026-03-27 05:00:46 PM ET,97870.55
2026-03-30 05:00:55 PM ET,98320.10
2026-04-01 05:00:48 PM ET,97576.02
2026-04-02 05:00:52 PM ET,98001.44
2026-04-03 05:00:46 PM ET,97980.12
2026-04-06 05:00:48 PM ET,98339.43
2026-04-07 05:00:50 PM ET,98348.97
2026-04-08 05:00:56 PM ET,98397.04
2026-04-09 05:00:50 PM ET,98315.46
2026-04-10 05:00:49 PM ET,97643.55
2026-04-13 05:00:53 PM ET,98267.00
2026-04-14 05:00:53 PM ET,98607.41
2026-04-15 05:00:51 PM ET,98983.91
2026-04-16 05:01:02 PM ET,99869.67
2026-04-17 05:00:54 PM ET,100121.47
2026-04-20 05:00:55 PM ET,100307.55
2026-04-21 05:00:49 PM ET,100655.15
2026-04-22 05:00:57 PM ET,100843.98
2026-04-23 05:00:51 PM ET,100430.22
2026-04-24 05:00:50 PM ET,100706.77
2026-04-27 05:01:14 PM ET,100578.79
2026-04-28 05:00:55 PM ET,100830.28
2026-04-29 05:00:56 PM ET,100468.29
2026-04-30 05:00:51 PM ET,101011.26
2026-05-01 05:00:51 PM ET,100633.39
2026-05-04 05:00:48 PM ET,100228.92
2026-05-05 05:00:53 PM ET,100593.98
2026-05-06 05:01:04 PM ET,100454.71
2026-05-07 05:01:12 PM ET,100359.24
2026-05-08 05:00:58 PM ET,100421.76
2026-05-11 05:01:06 PM ET,100646.74
2026-05-12 05:00:59 PM ET,100561.39
2026-05-13 05:00:52 PM ET,102250.69
2026-05-14 05:00:58 PM ET,102442.45
2026-05-15 05:00:49 PM ET,103410.89
2026-05-18 05:00:49 PM ET,104094.41
2026-05-19 05:00:49 PM ET,103221.52
2026-05-20 05:00:45 PM ET,103064.71
2026-05-21 05:00:50 PM ET,103494.65
2026-05-22 05:00:50 PM ET,103691.30
2026-05-25 05:00:49 PM ET,103792.55
2026-05-26 05:00:52 PM ET,102915.17
2026-05-27 05:00:50 PM ET,103154.26
2026-05-28 05:00:53 PM ET,103970.28
2026-05-29 05:00:46 PM ET,105198.60
2026-06-01 05:00:54 PM ET,105847.88
2026-06-02 05:00:53 PM ET,105460.22
2026-06-03 05:01:05 PM ET,104442.35
2026-06-04 05:00:50 PM ET,104787.61
2026-06-05 05:01:03 PM ET,103367.45
2026-06-08 05:00:53 PM ET,103152.90
2026-06-09 05:00:50 PM ET,102587.16
2026-06-10 05:00:57 PM ET,102139.31
2026-06-11 05:01:02 PM ET,101916.53
2026-06-12 05:00:52 PM ET,101815.57
2026-06-15 05:00:53 PM ET,101770.41
2026-06-16 05:01:06 PM ET,101668.34
2026-06-17 05:01:03 PM ET,100514.73
2026-06-18 05:00:54 PM ET,100513.65
2026-06-19 05:00:52 PM ET,100441.85
2026-06-22 05:00:58 PM ET,99359.89
2026-06-23 05:01:05 PM ET,100230.71
2026-06-24 05:00:52 PM ET,99655.10
2026-06-25 05:00:57 PM ET,98756.94
2026-06-26 05:00:48 PM ET,99626.77
2026-06-30 05:00:54 PM ET,99180.42
2026-07-01 05:00:56 PM ET,99682.54
2026-07-02 05:01:00 PM ET,100136.62
2026-07-03 05:00:56 PM ET,100190.81
2026-07-06 05:01:13 PM ET,99773.81
2026-07-07 05:01:10 PM ET,100364.91
2026-07-08 05:01:16 PM ET,99741.95
2026-07-09 05:01:01 PM ET,99455.72
2026-07-10 05:01:09 PM ET,100101.72
2026-07-13 05:01:06 PM ET,100836.30
2026-07-14 05:01:05 PM ET,100240.82
2026-07-15 05:01:04 PM ET,100575.28
2026-07-16 05:00:57 PM ET,101161.48
2026-07-17 05:00:53 PM ET,101226.43
2026-07-20 05:00:58 PM ET,101045.21
